"id","title","year","age","imdb","rotten_tomatoes","type"
8103,"Jon Reep: Ginger Beard Man",2019,null,null,"39/100",0
8105,"Where Sleeping Dogs Lie",2019,null,null,"39/100",0
8108,"""Eriko, Pretended""",2018,"all",null,"39/100",0
8094,"Jay Pharoah: Can I Be Me?",2015,null,null,"39/100",0
8113,"Mothers of the Bride",2015,"7+",null,"39/100",0
8118,"Mars Needs Women",1968,null,null,"39/100",0
8119,"Let's Sing Again",1936,null,null,"39/100",0
8120,"Forrest Shaw: Poor Decisions",2018,"18+",null,"39/100",0
8121,"Manchild: The Schea Cotton Story",2016,null,null,"39/100",0
8123,"Plato's Reality Machine",2013,null,null,"39/100",0
8124,"Son of a Gun",2019,null,null,"39/100",0
8116,"Ablaze",2001,"18+",null,"39/100",0
8091,"Blowfly Park",2014,"7+",null,"39/100",0
8089,"Secret Lives",2005,"18+",null,"39/100",0
8085,"Thodi Thodi Si Manmaaniyan",2017,null,null,"39/100",0
8042,"Straight Shooter",1939,"7+",null,"39/100",0
8043,"Imperial Venus",1962,"7+",null,"39/100",0
8045,"Peculiar Pets",2010,null,null,"39/100",0
8046,"Wall Street Cowboy",1939,null,null,"39/100",0
8058,"Matt Besser: Pot Humor",2019,null,null,"39/100",0
8064,"Double Edge",1992,"18+",null,"39/100",0
8069,"Sundown Saunders",1935,null,null,"39/100",0
8070,"Telephone Operator",1937,null,null,"39/100",0
8071,"Owen Benjamin: Huge Pianist",2018,"18+",null,"39/100",0
8078,"Grinders",2011,null,null,"39/100",0
8079,"Happy 40th",2015,null,null,"39/100",0
8080,"Sawan Ko Aane Do",1979,null,null,"39/100",0
8082,"Colorz of Rage",1999,"18+",null,"39/100",0
8083,"15 Killings",2020,null,null,"39/100",0
8084,"Adrift in Soho",2018,"all",null,"39/100",0
8129,"Brian Gaar: Jokes I Wrote At Work",2015,null,null,"39/100",0
8041,"Dana Gould: I Know It's Wrong",2013,"18+",null,"39/100",0
8131,"Beaten",2005,null,null,"39/100",0
8138,"Narco Soldiers",2019,"13+",null,"38/100",0
8179,"The Bone Garden",2016,"18+",null,"38/100",0
8184,"A Reckoning",2018,null,null,"38/100",0
8186,"What Price Crime",1935,null,null,"38/100",0
8187,"Pete Correale: The Things We Do For Love",2009,null,null,"38/100",0
8190,"Wildcat",1942,null,null,"38/100",0
8192,"Loni Love: America's Sister",2010,null,null,"38/100",0
8178,"Back Page",1934,null,null,"38/100",0
8193,"Gina Brillon: Pacifically Speaking",2015,null,null,"38/100",0
8197,"The King's Guard",2000,"13+",null,"38/100",0
8206,"Honesty Weekend",2021,null,null,"38/100",0
8207,"David Crowe: Crooked Finger",2009,null,null,"38/100",0
8214,"Captain Scarlett",1953,null,null,"38/100",0
8216,"What Comes Around",1985,"7+",null,"38/100",0
8218,"Blanc de Blanc",2009,null,null,"38/100",0
8195,"Frontier Outlaws",1944,null,null,"38/100",0
8176,"Somnus",2016,null,null,"38/100",0
8174,"Secret Valley",1937,null,null,"38/100",0
8173,"Hanna's Gold",2010,"all",null,"38/100",0
8139,"The Healing Garden",2021,"all",null,"38/100",0
8140,"Wetbacks",1956,null,null,"38/100",0
8142,"They Meet Again",1941,null,null,"38/100",0
8145,"Bugged",1997,"13+",null,"38/100",0
8149,"Message From A Mistress",2017,null,null,"38/100",0
8152,"Nick Di Paolo: Inflammatory",2017,null,null,"38/100",0
8154,"Izzie's Way Home",2016,"all",null,"38/100",0
8155,"City of Shadows",1987,"18+",null,"38/100",0
8160,"Where Love Found Me",2016,"13+",null,"38/100",0
8161,"The Gay Ranchero",1948,null,null,"38/100",0
8165,"Nic & Tristan Go Mega Dega",2010,"all",null,"38/100",0
8166,"Edison",2015,"7+",null,"38/100",0
8168,"Arc",2006,"13+",null,"38/100",0
8170,"The Norse: An Arctic Mystery",2012,"7+",null,"38/100",0
8172,"Betrayal",2013,null,null,"38/100",0
8133,"Midnight Devils",2020,null,null,"38/100",0
8040,"Eat Your Heart Out",1997,"18+",null,"39/100",0
8038,"I Am Gangster",2015,null,null,"39/100",0
8037,"Saleslady",1938,null,null,"39/100",0
7905,"Selfie Dad",2020,"7+",null,"40/100",0
7906,"Reach for Me",2008,null,null,"40/100",0
7908,"#IMomSoHard Live",2019,"18+",null,"40/100",0
7910,"Ninja Academy",1989,"18+",null,"40/100",0
7913,"Righteous Villains",2020,"18+",null,"40/100",0
7918,"Nevada City",1941,null,null,"40/100",0
7904,"Gila!",2012,"18+",null,"40/100",0
7921,"Michael Ian Black: Noted Expert",2016,"18+",null,"40/100",0
7927,"Girls in Chains",1943,null,null,"40/100",0
7931,"Stolen Hours",1963,null,null,"40/100",0
7934,"6-Headed Shark Attack",2018,"16+",null,"40/100",0
7936,"The Big Cat",1949,null,null,"40/100",0
7937,"Goblin",2020,null,null,"40/100",0
7939,"Sinbad: Make Me Wanna Holla",2014,"16+",null,"40/100",0
